y_test,y_pred
0.7,0.6048634527441745
0.7,0.6048634527441745
0.7,0.6048634527441745
0.7,0.6048634527441745
0.435,0.6048634527441745
0.435,0.6048634527441745
0.435,0.6048634527441745
0.435,0.6048634527441745
0.8049999999999999,0.6048634527441745
0.8049999999999999,0.6048634527441745
0.8049999999999999,0.6048634527441745
0.8049999999999999,0.6048634527441745
0.425,0.6048634527441745
0.425,0.6048634527441745
0.425,0.6048634527441745
0.425,0.6048634527441745
0.6,0.6048634527441745
0.6,0.6048634527441745
0.6,0.6048634527441745
0.6,0.6048634527441745
0.49,0.6048634527441745
0.49,0.6048634527441745
0.49,0.6048634527441745
0.49,0.6048634527441745
0.595,0.6048634527441745
0.595,0.6048634527441745
0.595,0.6048634527441745
0.595,0.6048634527441745
0.75,0.6048634527441745
0.75,0.6048634527441745
0.75,0.6048634527441745
0.75,0.6048634527441745
0.45,0.6048634527441745
0.45,0.6048634527441745
0.45,0.6048634527441745
0.45,0.6048634527441745
0.49,0.6048634527441745
0.49,0.6048634527441745
0.49,0.6048634527441745
0.49,0.6048634527441745
0.445,0.6048634527441745
0.445,0.6048634527441745
0.445,0.6048634527441745
0.445,0.6048634527441745
0.73,0.6048634527441745
0.73,0.6048634527441745
0.73,0.6048634527441745
0.73,0.6048634527441745
0.745,0.6048634527441745
0.745,0.6048634527441745
0.745,0.6048634527441745
0.745,0.6048634527441745
0.54,0.6048634527441745
0.54,0.6048634527441745
0.54,0.6048634527441745
0.54,0.6048634527441745
0.7150000000000001,0.6048634527441745
0.7150000000000001,0.6048634527441745
0.7150000000000001,0.6048634527441745
0.7150000000000001,0.6048634527441745
0.915,0.6048634527441745
0.915,0.6048634527441745
0.915,0.6048634527441745
0.915,0.6048634527441745
0.53,0.6048634527441745
0.53,0.6048634527441745
0.53,0.6048634527441745
0.53,0.6048634527441745
0.6799999999999999,0.6048634527441745
0.6799999999999999,0.6048634527441745
0.6799999999999999,0.6048634527441745
0.6799999999999999,0.6048634527441745
0.615,0.6048634527441745
0.615,0.6048634527441745
0.615,0.6048634527441745
0.615,0.6048634527441745
0.635,0.6048634527441745
0.635,0.6048634527441745
0.635,0.6048634527441745
0.635,0.6048634527441745
0.665,0.6048634527441745
0.665,0.6048634527441745
0.665,0.6048634527441745
0.665,0.6048634527441745
0.6299999999999999,0.6048634527441745
0.6299999999999999,0.6048634527441745
0.6299999999999999,0.6048634527441745
0.6299999999999999,0.6048634527441745
0.43,0.6048634527441745
0.43,0.6048634527441745
0.43,0.6048634527441745
0.43,0.6048634527441745
